# -------------------------------------------------
# 
# Thou invoked Nightfall, and it answered thy plea.
# 
#   Thy Name is Pierre Maxted, 
#     and thy time is Wed Sep 21 16:46:17 2016
# 
# -------------------------------------------------
# 
# System Parameters (elliptic orbit):
# 
#   <Eccentricity>     0.150  (dimensionless)
#   <Omega>          120.000  (degree)
#   <Inclination>     80.000  (degree)
#   <Mass Ratio>       2.000  (dimensionless)
#   <Lagrange One>     0.429  (dimensionless)
# 
# -------------------------------------------------
# 
# Model used:
# 
#   <Flux>                  Blackbody
#   <Fractional visibility> On
#   <Limb darkening>        square root
#   <Detailed reflection>   0
# 
# -------------------------------------------------
# 
# System Size (absolute units):
# 
#   <Period>        2.223e+07  (seconds)
#   <Total Mass>    3.978e+30  (kilogramm)
#   <Distance>      1.492e+11  (meter)
#   <Lagrange One>  5.444e+10  (meter)
# 
#   <Period>         257.248  (days)
#   <Total Mass>       2.000  (solar mass)
#   <Distance>       214.372  (solar radius)
#   <Lagrange One>    78.216  (solar radius)
# 
# -------------------------------------------------
# 
# Component Parameters:
#                    Primary  Secondary
#   <Max Velocity>    28.009     14.004   (km/sec)
# 
#   <Mass>             0.333      0.667   (dimensionless)
#   <Gravity>         28.808   17457.877   (dimensionless)
#   <Polar Radius>     0.166      0.007   (dimensionless)
#   <Point Radius>  0.171532   0.006876   (dimensionless)
#   <Mean Radius>   0.166822   0.007043   (dimensionless)
#   <Volume>        0.019922   0.000001   (dimensionless)
# 
#   <Mass>          1.33e+30   2.65e+30   (kilogramm)
#   <Gravity>          0.114     69.386   (m kg/s^2)
#   <Polar Radius>  2.48e+10   1.03e+09   (meter)
#   <Point Radius>  2.56e+10   1.03e+09   (meter)
#   <Mean Radius>   2.49e+10   1.05e+09   (meter)
#   <Volume>        6.62e+31   4.86e+27   (cubic meter)
# 
#   <Mass>             0.667      1.333   (solar mass)
#   <Polar Radius>    35.602      1.474   (solar radius)
#   <Point Radius>    36.772      1.474   (solar radius)
#   <Mean Radius>     35.762      1.510   (solar radius)
#   <Volume>        196266.087     14.414   (solar volumes)
# 
#   <Mean Temp.>     20000.0     3143.2   (Kelvin)
# 
# -------------------------------------------------
# 
#                    Primary  Secondary
#   <Fill Factor>      0.650      0.020   (dimensionless)
#   <Temperature>    20000.0     2000.0   (Kelvin)
#   <Asynchronicity>   1.000      1.000   (dimensionless)
#   <Albedo>           1.000      0.500   (dimensionless)
#   <Grav. Dark.>      0.250      0.055   (dimensionless)
# 
# -------------------------------------------------
# 
#   <Surface Potential Primary>        7.4376   (dimensionless)
#   <Lagrange 1 Potential>             5.2517   (dimensionless)
#   <Lagrange 2 Potential>             4.6545   (dimensionless)
#   <Surface Potential Secondary>    132.6283   (dimensionless)
#   <... in Primary frame>           264.7566   (dimensionless)
#   <Secondary eclipse begin>      --no eclipse--
#   <Secondary totality begin>     --no totality--
#   <Primary eclipse begin>        383541.8886   (minutes +/- 185.22)
#   <Primary eclipse end>          392802.8315   (minutes +/- 185.22)
#   <Primary totality begin>       --no totality--
# 
# -------------------------------------------------
# 
# <Luminosities>:
#   Band   0:     1.11261e+16      2.9362e+09
#   Band   1:     6.53464e+15     5.47377e+09
#   Band   2:     3.26964e+15     7.81269e+09
#   Band   3:     2.21767e+15      9.4264e+09
#   Band   4:       9.921e+14     9.76215e+09
#   Band   5:     1.96132e+14     6.61895e+09
#   Band   6:     7.47083e+13     3.91668e+09
#   Band   7:     2.33177e+13     1.87599e+09
#   Band   8:     1.15003e+16     2.06441e+09
#   Band   9:     7.34898e+15     4.10376e+09
#   Band  10:     5.07946e+15     5.08681e+09
#   Band  11:     3.15066e+15     7.37099e+09
# 
# -------------------------------------------------
# 
# Spots  (if any)
# 
# 
# -------------------------------------------------
# 
# Fit Results  (if any)
# 
# 
# -------------------------------------------------
# 
# <Normalization> at <Phase> was:
#   Band   0:     1.11287e+16        0.737375
#   Band   1:       6.536e+15        0.737375
#   Band   2:     3.27024e+15        0.737375
#   Band   3:     2.21806e+15        0.737375
#   Band   4:     9.92262e+14        0.737375
#   Band   5:     1.96164e+14        0.737375
#   Band   6:     7.47215e+13        0.737375
#   Band   7:     2.33223e+13        0.737375
#   Band   8:      1.1503e+16        0.737375
#   Band   9:     7.35055e+15        0.737375
#   Band  10:     5.08047e+15        0.737375
#   Band  11:     3.15123e+15        0.737375
# 
# -------------------------------------------------
# 
# SEQ  PHASE  U       B       V       R       I       J       H       K       u       v       b       y     RV(Primary) RV(Secondary) 
# 
     0 -0.2626 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000 -0.000000      -30.12       15.23
   370  0.1074  0.018209  0.017413  0.016283  0.015676  0.014888  0.013950  0.013555  0.013259  0.018330  0.017720  0.017067  0.016284       11.64      -5.868
   371  0.1084  0.018140  0.017348  0.016221  0.015616  0.014831  0.013897  0.013503  0.013207  0.018261  0.017654  0.017003  0.016222       11.76      -5.926
   372  0.1094  0.018078  0.017288  0.016166  0.015563  0.014782  0.013852  0.013459  0.013165  0.018198  0.017592  0.016944  0.016167       11.87      -5.984
   373  0.1104  0.018018  0.017231  0.016114  0.015514  0.014736  0.013811  0.013420  0.013128  0.018138  0.017534  0.016889  0.016115       11.99      -6.041
   374  0.1114  0.017957  0.017172  0.016061  0.015464  0.014690  0.013769  0.013380  0.013089  0.018077  0.017474  0.016832  0.016062        12.1      -6.099
   375  0.1124  0.017889  0.017108  0.016000  0.015405  0.014634  0.013717  0.013330  0.013040  0.018009  0.017408  0.016768  0.016001       12.21      -6.156
   376  0.1134  0.017814  0.017036  0.015932  0.015339  0.014570  0.013655  0.013269  0.012981  0.017933  0.017336  0.016698  0.015933       12.33      -6.213
   377  0.1144  0.017737  0.016962  0.015861  0.015270  0.014503  0.013591  0.013206  0.012918  0.017856  0.017261  0.016625  0.015862       12.44       -6.27
   378  0.1154  0.017661  0.016889  0.015791  0.015201  0.014437  0.013527  0.013143  0.012856  0.017778  0.017187  0.016553  0.015792       12.55      -6.326
   379  0.1164  0.017584  0.016815  0.015721  0.015133  0.014371  0.013463  0.013080  0.012794  0.017701  0.017113  0.016481  0.015722       12.66      -6.383
   380  0.1174  0.017510  0.016745  0.015654  0.015068  0.014308  0.013404  0.013022  0.012737  0.017627  0.017041  0.016412  0.015656       12.77      -6.439
   381  0.1184  0.017438  0.016675  0.015589  0.015005  0.014248  0.013347  0.012967  0.012682  0.017554  0.016971  0.016344  0.015590       12.89      -6.495
   382  0.1194  0.017366  0.016607  0.015525  0.014942  0.014188  0.013290  0.012911  0.012628  0.017482  0.016901  0.016276  0.015526          13      -6.551
   383  0.1204  0.017300  0.016543  0.015466  0.014886  0.014136  0.013242  0.012865  0.012583  0.017415  0.016836  0.016214  0.015467       13.11      -6.607
   384  0.1214  0.017238  0.016484  0.015412  0.014835  0.014089  0.013200  0.012825  0.012545  0.017353  0.016775  0.016156  0.015413       13.22      -6.663
   385  0.1224  0.017171  0.016421  0.015353  0.014780  0.014037  0.013152  0.012779  0.012500  0.017286  0.016711  0.016094  0.015355       13.33      -6.718
   386  0.1234  0.017098  0.016351  0.015288  0.014716  0.013976  0.013095  0.012724  0.012445  0.017213  0.016640  0.016026  0.015289       13.44      -6.774
   387  0.1244  0.017021  0.016277  0.015218  0.014648  0.013910  0.013032  0.012662  0.012385  0.017136  0.016565  0.015953  0.015219       13.55      -6.829
   388  0.1254  0.016942  0.016201  0.015146  0.014578  0.013842  0.012967  0.012598  0.012321  0.017056  0.016488  0.015879  0.015147       13.66      -6.884
   389  0.1264  0.016863  0.016125  0.015073  0.014507  0.013773  0.012901  0.012533  0.012257  0.016976  0.016411  0.015804  0.015075       13.77      -6.939
   390  0.1274  0.016787  0.016053  0.015005  0.014441  0.013710  0.012841  0.012474  0.012199  0.016900  0.016338  0.015733  0.015006       13.87      -6.994
   391  0.1284  0.016713  0.015982  0.014938  0.014375  0.013648  0.012782  0.012416  0.012143  0.016825  0.016266  0.015663  0.014939       13.98      -7.048
   392  0.1294  0.016634  0.015906  0.014866  0.014305  0.013580  0.012717  0.012353  0.012080  0.016745  0.016189  0.015589  0.014867       14.09      -7.102
   393  0.1304  0.016559  0.015834  0.014798  0.014240  0.013517  0.012658  0.012295  0.012023  0.016670  0.016116  0.015519  0.014800        14.2      -7.157
   394  0.1314  0.016488  0.015766  0.014735  0.014179  0.013460  0.012605  0.012244  0.011974  0.016599  0.016047  0.015452  0.014737        14.3      -7.211
   395  0.1324  0.016423  0.015704  0.014678  0.014126  0.013411  0.012561  0.012202  0.011933  0.016533  0.015983  0.015391  0.014680       14.41      -7.265
   396  0.1334  0.016357  0.015642  0.014621  0.014072  0.013361  0.012516  0.012159  0.011892  0.016468  0.015919  0.015330  0.014623       14.52      -7.318
   397  0.1344  0.016283  0.015571  0.014555  0.014008  0.013300  0.012458  0.012103  0.011838  0.016393  0.015847  0.015261  0.014556       14.62      -7.372
   398  0.1354  0.016204  0.015495  0.014483  0.013938  0.013233  0.012395  0.012041  0.011777  0.016314  0.015770  0.015187  0.014485       14.73      -7.425
   399  0.1364  0.016124  0.015418  0.014410  0.013867  0.013165  0.012330  0.011977  0.011713  0.016233  0.015693  0.015111  0.014412       14.83      -7.478
   400  0.1374  0.016041  0.015339  0.014335  0.013793  0.013093  0.012261  0.011909  0.011646  0.016150  0.015613  0.015033  0.014336       14.94      -7.531
   401  0.1384  0.015956  0.015258  0.014257  0.013717  0.013019  0.012189  0.011838  0.011576  0.016064  0.015531  0.014953  0.014259       15.04      -7.584
   402  0.1394  0.015876  0.015181  0.014183  0.013645  0.012950  0.012123  0.011773  0.011512  0.015983  0.015452  0.014877  0.014185       15.15      -7.637
   403  0.1404  0.015798  0.015106  0.014113  0.013577  0.012885  0.012061  0.011713  0.011453  0.015904  0.015376  0.014804  0.014115       15.25      -7.689
   404  0.1414  0.015724  0.015035  0.014047  0.013514  0.012825  0.012005  0.011659  0.011400  0.015830  0.015304  0.014735  0.014049       15.36      -7.741
   405  0.1424  0.015652  0.014966  0.013983  0.013453  0.012768  0.011953  0.011608  0.011351  0.015758  0.015234  0.014667  0.013985       15.46      -7.794
   406  0.1434  0.015580  0.014898  0.013920  0.013393  0.012711  0.011900  0.011558  0.011302  0.015686  0.015164  0.014601  0.013922       15.56      -7.845
   407  0.1444  0.015510  0.014831  0.013858  0.013334  0.012656  0.011850  0.011510  0.011256  0.015615  0.015096  0.014535  0.013860       15.66      -7.897
   408  0.1454  0.015429  0.014753  0.013785  0.013262  0.012587  0.011785  0.011446  0.011192  0.015534  0.015017  0.014459  0.013787       15.77      -7.949
   409  0.1464  0.015348  0.014676  0.013711  0.013191  0.012519  0.011719  0.011382  0.011130  0.015452  0.014938  0.014383  0.013713       15.87          -8
   410  0.1474  0.015267  0.014598  0.013638  0.013120  0.012451  0.011655  0.011319  0.011068  0.015371  0.014860  0.014307  0.013640       15.97      -8.051
   411  0.1484  0.015186  0.014520  0.013565  0.013049  0.012382  0.011589  0.011255  0.011005  0.015289  0.014781  0.014230  0.013566       16.07      -8.102
   412  0.1494  0.015101  0.014440  0.013488  0.012973  0.012309  0.011520  0.011186  0.010937  0.015204  0.014699  0.014151  0.013490       16.17      -8.153
   413  0.1504  0.015022  0.014363  0.013416  0.012904  0.012243  0.011457  0.011125  0.010877  0.015124  0.014622  0.014076  0.013418       16.27      -8.204
   414  0.1514  0.014942  0.014287  0.013344  0.012835  0.012177  0.011394  0.011064  0.010817  0.015044  0.014544  0.014001  0.013346       16.37      -8.254
   415  0.1524  0.014866  0.014215  0.013277  0.012770  0.012115  0.011337  0.011008  0.010763  0.014968  0.014471  0.013930  0.013279       16.47      -8.304
   416  0.1534  0.014795  0.014147  0.013214  0.012710  0.012060  0.011287  0.010960  0.010717  0.014896  0.014401  0.013864  0.013216       16.57      -8.354
   417  0.1544  0.014723  0.014078  0.013151  0.012650  0.012004  0.011236  0.010911  0.010669  0.014824  0.014331  0.013796  0.013153       16.67      -8.404
   418  0.1554  0.014645  0.014003  0.013081  0.012583  0.011940  0.011176  0.010853  0.010612  0.014746  0.014255  0.013723  0.013083       16.77      -8.454
   419  0.1564  0.014560  0.013921  0.013003  0.012507  0.011866  0.011105  0.010783  0.010544  0.014660  0.014172  0.013643  0.013005       16.86      -8.503
   420  0.1574  0.014473  0.013839  0.012924  0.012430  0.011791  0.011033  0.010713  0.010474  0.014572  0.014088  0.013561  0.012926       16.96      -8.553
   421  0.1584  0.014390  0.013759  0.012848  0.012356  0.011721  0.010966  0.010647  0.010409  0.014488  0.014007  0.013483  0.012850       17.06      -8.602
   422  0.1594  0.014306  0.013678  0.012772  0.012282  0.011649  0.010898  0.010580  0.010343  0.014404  0.013925  0.013404  0.012774       17.16      -8.651
   423  0.1604  0.014223  0.013599  0.012697  0.012209  0.011580  0.010832  0.010515  0.010280  0.014320  0.013845  0.013326  0.012699       17.25      -8.699
   424  0.1614  0.014139  0.013519  0.012621  0.012135  0.011509  0.010765  0.010450  0.010215  0.014236  0.013764  0.013247  0.012624       17.35      -8.748
   425  0.1624  0.014062  0.013445  0.012553  0.012070  0.011447  0.010707  0.010394  0.010161  0.014159  0.013689  0.013175  0.012555       17.44      -8.796
   426  0.1634  0.013985  0.013371  0.012483  0.012003  0.011384  0.010648  0.010337  0.010105  0.014081  0.013613  0.013102  0.012486       17.54      -8.844
   427  0.1644  0.013909  0.013298  0.012416  0.011939  0.011323  0.010592  0.010283  0.010052  0.014004  0.013539  0.013031  0.012418       17.63      -8.892
   428  0.1654  0.013832  0.013225  0.012348  0.011874  0.011262  0.010536  0.010228  0.010000  0.013928  0.013465  0.012960  0.012351       17.73       -8.94
   429  0.1664  0.013753  0.013149  0.012277  0.011805  0.011197  0.010474  0.010169  0.009941  0.013848  0.013387  0.012885  0.012279       17.82      -8.987
   430  0.1674  0.013668  0.013068  0.012201  0.011731  0.011125  0.010407  0.010102  0.009876  0.013763  0.013305  0.012805  0.012203       17.92      -9.034
   431  0.1684  0.013584  0.012987  0.012124  0.011656  0.011054  0.010339  0.010036  0.009811  0.013677  0.013223  0.012726  0.012126       18.01      -9.081
   432  0.1694  0.013500  0.012907  0.012048  0.011583  0.010984  0.010272  0.009971  0.009747  0.013593  0.013142  0.012647  0.012051        18.1      -9.128
   433  0.1704  0.013412  0.012823  0.011968  0.011505  0.010908  0.010200  0.009900  0.009676  0.013505  0.013057  0.012565  0.011971       18.19      -9.175
   434  0.1714  0.013327  0.012741  0.011891  0.011430  0.010836  0.010131  0.009832  0.009610  0.013419  0.012974  0.012485  0.011893       18.29      -9.221
   435  0.1724  0.013247  0.012665  0.011819  0.011361  0.010771  0.010070  0.009773  0.009552  0.013339  0.012896  0.012409  0.011822       18.38      -9.268
   436  0.1734  0.013171  0.012592  0.011752  0.011297  0.010710  0.010014  0.009720  0.009500  0.013262  0.012821  0.012338  0.011754       18.47      -9.314
   437  0.1744  0.013094  0.012518  0.011684  0.011231  0.010649  0.009958  0.009665  0.009447  0.013185  0.012746  0.012266  0.011686       18.56      -9.359
   438  0.1754  0.013022  0.012450  0.011621  0.011172  0.010594  0.009908  0.009618  0.009403  0.013113  0.012676  0.012199  0.011623       18.65      -9.405
   439  0.1764  0.012944  0.012374  0.011551  0.011105  0.010531  0.009849  0.009561  0.009347  0.013034  0.012599  0.012126  0.011553       18.74       -9.45
   440  0.1774  0.012858  0.012292  0.011473  0.011030  0.010458  0.009780  0.009493  0.009280  0.012947  0.012516  0.012045  0.011476       18.83      -9.496
   441  0.1784  0.012772  0.012210  0.011396  0.010954  0.010386  0.009711  0.009426  0.009214  0.012861  0.012433  0.011964  0.011398       18.92      -9.541
   442  0.1794  0.012685  0.012127  0.011317  0.010878  0.010312  0.009641  0.009357  0.009146  0.012774  0.012348  0.011882  0.011319       19.01      -9.585
   443  0.1804  0.012597  0.012042  0.011236  0.010799  0.010236  0.009568  0.009285  0.009075  0.012684  0.012262  0.011799  0.011238       19.09       -9.63
   444  0.1814  0.012509  0.011958  0.011157  0.010722  0.010162  0.009497  0.009216  0.009007  0.012597  0.012178  0.011717  0.011159       19.18      -9.674
   445  0.1824  0.012426  0.011879  0.011082  0.010649  0.010093  0.009432  0.009152  0.008945  0.012513  0.012097  0.011639  0.011084       19.27      -9.718
   446  0.1834  0.012345  0.011801  0.011009  0.010579  0.010026  0.009370  0.009092  0.008885  0.012431  0.012018  0.011562  0.011011       19.36      -9.762
   447  0.1844  0.012267  0.011726  0.010940  0.010513  0.009964  0.009312  0.009036  0.008832  0.012353  0.011942  0.011489  0.010942       19.44      -9.806
   448  0.1854  0.012188  0.011651  0.010870  0.010446  0.009901  0.009254  0.008980  0.008777  0.012274  0.011865  0.011416  0.010872       19.53      -9.849
   449  0.1864  0.012111  0.011577  0.010801  0.010381  0.009839  0.009197  0.008925  0.008724  0.012196  0.011789  0.011343  0.010804       19.61      -9.892
   450  0.1874  0.012027  0.011496  0.010725  0.010307  0.009769  0.009131  0.008861  0.008660  0.012111  0.011707  0.011264  0.010728        19.7      -9.935
   451  0.1884  0.011941  0.011414  0.010648  0.010232  0.009697  0.009063  0.008794  0.008594  0.012025  0.011624  0.011183  0.010650       19.78      -9.978
   452  0.1894  0.011856  0.011332  0.010571  0.010157  0.009625  0.008995  0.008727  0.008529  0.011939  0.011541  0.011103  0.010573       19.87      -10.02
   453  0.1904  0.011768  0.011248  0.010491  0.010079  0.009550  0.008923  0.008657  0.008460  0.011850  0.011456  0.011020  0.010493       19.95      -10.06
   454  0.1914  0.011679  0.011163  0.010410  0.010000  0.009474  0.008850  0.008586  0.008389  0.011761  0.011369  0.010936  0.010412       20.03      -10.11
   455  0.1924  0.011594  0.011082  0.010334  0.009927  0.009404  0.008784  0.008521  0.008326  0.011676  0.011287  0.010857  0.010336       20.12      -10.15
   456  0.1934  0.011514  0.011005  0.010262  0.009858  0.009339  0.008723  0.008462  0.008269  0.011595  0.011209  0.010782  0.010264        20.2      -10.19
   457  0.1944  0.011432  0.010927  0.010189  0.009787  0.009271  0.008660  0.008401  0.008209  0.011513  0.011129  0.010705  0.010191       20.28      -10.23
   458  0.1954  0.011352  0.010850  0.010117  0.009718  0.009206  0.008600  0.008342  0.008152  0.011432  0.011051  0.010630  0.010119       20.36      -10.27
   459  0.1964  0.011275  0.010777  0.010050  0.009654  0.009146  0.008545  0.008290  0.008101  0.011355  0.010976  0.010558  0.010052       20.44      -10.31
   460  0.1974  0.011196  0.010701  0.009979  0.009587  0.009083  0.008486  0.008233  0.008046  0.011276  0.010899  0.010484  0.009982       20.52      -10.35
   461  0.1984  0.011112  0.010621  0.009904  0.009514  0.009013  0.008420  0.008169  0.007983  0.011191  0.010817  0.010405  0.009906        20.6      -10.39
   462  0.1994  0.011027  0.010539  0.009826  0.009439  0.008941  0.008352  0.008102  0.007917  0.011105  0.010734  0.010325  0.009829       20.68      -10.43
   463  0.2004  0.010939  0.010455  0.009747  0.009362  0.008867  0.008282  0.008033  0.007849  0.011017  0.010649  0.010242  0.009750       20.76      -10.47
   464  0.2014  0.010853  0.010372  0.009669  0.009286  0.008794  0.008212  0.007965  0.007782  0.010930  0.010565  0.010161  0.009671       20.84      -10.51
   465  0.2024  0.010768  0.010291  0.009592  0.009212  0.008724  0.008145  0.007900  0.007718  0.010845  0.010482  0.010081  0.009595       20.92      -10.55
   466  0.2034  0.010687  0.010213  0.009519  0.009142  0.008657  0.008083  0.007840  0.007660  0.010763  0.010403  0.010004  0.009522       20.99      -10.59
   467  0.2044  0.010603  0.010133  0.009445  0.009070  0.008589  0.008019  0.007777  0.007599  0.010679  0.010322  0.009926  0.009447       21.07      -10.63
   468  0.2054  0.010523  0.010056  0.009373  0.009001  0.008523  0.007958  0.007718  0.007541  0.010598  0.010243  0.009851  0.009375       21.15      -10.67
   469  0.2064  0.010445  0.009981  0.009303  0.008934  0.008461  0.007900  0.007662  0.007487  0.010519  0.010167  0.009778  0.009306       21.22      -10.71
   470  0.2074  0.010367  0.009906  0.009234  0.008868  0.008399  0.007843  0.007607  0.007433  0.010441  0.010091  0.009705  0.009237        21.3      -10.75
   471  0.2084  0.010282  0.009825  0.009158  0.008794  0.008328  0.007776  0.007542  0.007369  0.010356  0.010009  0.009625  0.009160       21.37      -10.78
   472  0.2094  0.010193  0.009740  0.009076  0.008715  0.008251  0.007703  0.007470  0.007298  0.010266  0.009922  0.009541  0.009079       21.45      -10.82
   473  0.2104  0.010105  0.009656  0.008997  0.008638  0.008177  0.007632  0.007400  0.007229  0.010178  0.009837  0.009458  0.008999       21.52      -10.86
   474  0.2114  0.010021  0.009575  0.008921  0.008564  0.008107  0.007565  0.007335  0.007166  0.010093  0.009755  0.009379  0.008923       21.59       -10.9
   475  0.2124  0.009938  0.009495  0.008846  0.008492  0.008038  0.007500  0.007272  0.007104  0.010009  0.009674  0.009301  0.008848       21.67      -10.93
   476  0.2134  0.009855  0.009416  0.008771  0.008420  0.007970  0.007436  0.007210  0.007043  0.009926  0.009593  0.009223  0.008774       21.74      -10.97
   477  0.2144  0.009772  0.009337  0.008697  0.008348  0.007901  0.007372  0.007147  0.006982  0.009843  0.009512  0.009145  0.008700       21.81      -11.01
   478  0.2154  0.009691  0.009259  0.008624  0.008278  0.007835  0.007310  0.007087  0.006922  0.009761  0.009434  0.009069  0.008627       21.88      -11.04
   479  0.2164  0.009615  0.009186  0.008557  0.008214  0.007774  0.007254  0.007034  0.006871  0.009684  0.009359  0.008998  0.008560       21.95      -11.08
   480  0.2174  0.009541  0.009116  0.008492  0.008153  0.007717  0.007202  0.006984  0.006823  0.009610  0.009287  0.008929  0.008495       22.02      -11.11
   481  0.2184  0.009462  0.009039  0.008421  0.008084  0.007652  0.007142  0.006925  0.006766  0.009530  0.009209  0.008854  0.008423       22.09      -11.15
   482  0.2194  0.009375  0.008957  0.008343  0.008008  0.007579  0.007072  0.006857  0.006698  0.009443  0.009125  0.008773  0.008345       22.16      -11.19
   483  0.2204  0.009291  0.008876  0.008267  0.007935  0.007509  0.007006  0.006792  0.006635  0.009358  0.009043  0.008694  0.008269       22.23      -11.22
   484  0.2214  0.009209  0.008797  0.008193  0.007863  0.007441  0.006941  0.006730  0.006574  0.009275  0.008963  0.008616  0.008195        22.3      -11.25
   485  0.2224  0.009122  0.008714  0.008114  0.007786  0.007367  0.006871  0.006661  0.006506  0.009188  0.008879  0.008534  0.008116       22.37      -11.29
   486  0.2234  0.009036  0.008631  0.008035  0.007710  0.007294  0.006801  0.006592  0.006438  0.009101  0.008795  0.008453  0.008038       22.43      -11.32
   487  0.2244  0.008955  0.008554  0.007963  0.007640  0.007227  0.006739  0.006531  0.006379  0.009020  0.008716  0.008377  0.007965        22.5      -11.36
   488  0.2254  0.008875  0.008477  0.007891  0.007572  0.007162  0.006678  0.006472  0.006321  0.008940  0.008638  0.008302  0.007894       22.57      -11.39
   489  0.2264  0.008800  0.008405  0.007825  0.007508  0.007103  0.006623  0.006420  0.006270  0.008864  0.008565  0.008232  0.007827       22.63      -11.42
   490  0.2274  0.008724  0.008332  0.007757  0.007444  0.007042  0.006567  0.006366  0.006218  0.008787  0.008490  0.008160  0.007760        22.7      -11.46
   491  0.2284  0.008642  0.008254  0.007683  0.007372  0.006974  0.006503  0.006303  0.006156  0.008705  0.008410  0.008083  0.007686       22.76      -11.49
   492  0.2294  0.008560  0.008175  0.007610  0.007301  0.006906  0.006439  0.006241  0.006095  0.008623  0.008331  0.008006  0.007612       22.83      -11.52
   493  0.2304  0.008477  0.008095  0.007534  0.007228  0.006836  0.006373  0.006176  0.006031  0.008539  0.008250  0.007928  0.007537       22.89      -11.55
   494  0.2314  0.008395  0.008017  0.007461  0.007157  0.006768  0.006309  0.006114  0.005970  0.008457  0.008171  0.007851  0.007463       22.95      -11.59
   495  0.2324  0.008314  0.007939  0.007387  0.007086  0.006700  0.006244  0.006051  0.005908  0.008374  0.008091  0.007774  0.007390       23.01      -11.62
   496  0.2334  0.008237  0.007865  0.007319  0.007020  0.006638  0.006186  0.005995  0.005854  0.008297  0.008016  0.007702  0.007321       23.08      -11.65
   497  0.2344  0.008163  0.007795  0.007253  0.006958  0.006580  0.006133  0.005943  0.005804  0.008223  0.007944  0.007633  0.007256       23.14      -11.68
   498  0.2354  0.008088  0.007723  0.007187  0.006895  0.006520  0.006078  0.005891  0.005753  0.008148  0.007871  0.007563  0.007189        23.2      -11.71
   499  0.2364  0.008014  0.007652  0.007122  0.006832  0.006461  0.006024  0.005839  0.005702  0.008073  0.007798  0.007494  0.007124       23.26      -11.74
   500  0.2374  0.007944  0.007585  0.007060  0.006773  0.006407  0.005975  0.005792  0.005657  0.008002  0.007729  0.007427  0.007062       23.32      -11.77
   501  0.2384  0.007870  0.007514  0.006995  0.006712  0.006349  0.005921  0.005740  0.005607  0.007929  0.007657  0.007359  0.006997       23.38       -11.8
   502  0.2394  0.007794  0.007441  0.006926  0.006646  0.006287  0.005863  0.005684  0.005552  0.007852  0.007583  0.007287  0.006928       23.43      -11.83
   503  0.2404  0.007716  0.007366  0.006856  0.006578  0.006222  0.005803  0.005625  0.005495  0.007773  0.007507  0.007213  0.006858       23.49      -11.86
   504  0.2414  0.007635  0.007289  0.006783  0.006508  0.006155  0.005738  0.005562  0.005433  0.007692  0.007428  0.007137  0.006785       23.55      -11.89
   505  0.2424  0.007550  0.007208  0.006705  0.006432  0.006081  0.005668  0.005493  0.005364  0.007606  0.007346  0.007057  0.006707        23.6      -11.92
   506  0.2434  0.007467  0.007128  0.006630  0.006358  0.006010  0.005599  0.005426  0.005298  0.007522  0.007265  0.006979  0.006632       23.66      -11.95
   507  0.2444  0.007388  0.007052  0.006558  0.006288  0.005943  0.005536  0.005364  0.005237  0.007442  0.007188  0.006904  0.006560       23.72      -11.98
   508  0.2454  0.007310  0.006977  0.006488  0.006221  0.005879  0.005476  0.005305  0.005180  0.007364  0.007112  0.006831  0.006490       23.77         -12
   509  0.2464  0.007232  0.006902  0.006417  0.006152  0.005813  0.005414  0.005244  0.005120  0.007285  0.007036  0.006757  0.006419       23.82      -12.03
   510  0.2474  0.007159  0.006832  0.006352  0.006090  0.005754  0.005359  0.005191  0.005068  0.007211  0.006964  0.006688  0.006354       23.88      -12.06
   511  0.2484  0.007088  0.006764  0.006289  0.006030  0.005698  0.005307  0.005142  0.005020  0.007140  0.006895  0.006622  0.006291       23.93      -12.09
   512  0.2494  0.007017  0.006696  0.006226  0.005969  0.005641  0.005255  0.005091  0.004971  0.007069  0.006825  0.006555  0.006228       23.98      -12.11
   513  0.2504  0.006945  0.006627  0.006162  0.005908  0.005583  0.005201  0.005039  0.004920  0.006996  0.006755  0.006488  0.006164       24.03      -12.14
   514  0.2514  0.006866  0.006552  0.006091  0.005839  0.005517  0.005138  0.004977  0.004860  0.006917  0.006679  0.006414  0.006093       24.08      -12.16
   515  0.2524  0.006786  0.006474  0.006017  0.005767  0.005448  0.005071  0.004912  0.004795  0.006836  0.006600  0.006338  0.006019       24.13      -12.19
   516  0.2534  0.006710  0.006402  0.005949  0.005701  0.005385  0.005012  0.004854  0.004738  0.006760  0.006527  0.006266  0.005951       24.18      -12.22
   517  0.2544  0.006639  0.006333  0.005885  0.005640  0.005327  0.004958  0.004802  0.004688  0.006688  0.006457  0.006199  0.005887       24.23      -12.24
   518  0.2554  0.006569  0.006267  0.005823  0.005581  0.005272  0.004907  0.004753  0.004640  0.006618  0.006389  0.006134  0.005825       24.28      -12.27
   519  0.2564  0.006503  0.006203  0.005765  0.005526  0.005220  0.004860  0.004708  0.004596  0.006552  0.006324  0.006072  0.005767       24.33      -12.29
   520  0.2574  0.006438  0.006141  0.005708  0.005472  0.005170  0.004815  0.004665  0.004555  0.006486  0.006260  0.006011  0.005710       24.38      -12.31
